Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8
3616357,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Conakry,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Conakry,,,,
525426,Lotame Data Selling Network - Location Hierarchy^DMAs^Fargo-Valley City ND,Lotame Data Selling Network - Location Hierarchy,DMAs,Fargo-Valley City ND,,,,,
3616538,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Wallis,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Wallis,,,,
3616381,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Niamey,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Niamey,,,,
3616411,Lotame Data Selling Network - Location Hierarchy^Timezones^America^Martinique,Lotame Data Selling Network - Location Hierarchy,Timezones,America,Martinique,,,,
3616383,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Ouagadougou,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Ouagadougou,,,,
3616377,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Mogadishu,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Mogadishu,,,,
3616434,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Bishkek,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Bishkek,,,,
3616361,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Freetown,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Freetown,,,,
3616370,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Lome,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Lome,,,,
3616382,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Nouakchott,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Nouakchott,,,,
3616369,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Libreville,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Libreville,,,,
3616400,Lotame Data Selling Network - Location Hierarchy^Timezones^America^Godthab,Lotame Data Selling Network - Location Hierarchy,Timezones,America,Godthab,,,,
3616351,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Banjul,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Banjul,,,,
3616421,Lotame Data Selling Network - Location Hierarchy^Timezones^America^St Lucia,Lotame Data Selling Network - Location Hierarchy,Timezones,America,St Lucia,,,,
3616375,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Maseru,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Maseru,,,,
3616360,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Djibouti,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Djibouti,,,,
3616536,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Tarawa,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Tarawa,,,,
3616521,Lotame Data Selling Network - Location Hierarchy^Timezones^Indian^Antananarivo,Lotame Data Selling Network - Location Hierarchy,Timezones,Indian,Antananarivo,,,,
3616367,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Kigali,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Kigali,,,,
3616513,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Vaduz,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Vaduz,,,,
3616537,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Tongatapu,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Tongatapu,,,,
3616535,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Samoa,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Samoa,,,,
3616534,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Rarotonga,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Rarotonga,,,,
525375,Lotame Data Selling Network - Location Hierarchy^DMAs^Baton Rouge LA,Lotame Data Selling Network - Location Hierarchy,DMAs,Baton Rouge LA,,,,,
525403,Lotame Data Selling Network - Location Hierarchy^DMAs^Colorado Springs-Pueblo CO,Lotame Data Selling Network - Location Hierarchy,DMAs,Colorado Springs-Pueblo CO,,,,,
525383,Lotame Data Selling Network - Location Hierarchy^DMAs^Boise ID,Lotame Data Selling Network - Location Hierarchy,DMAs,Boise ID,,,,,
525532,Lotame Data Selling Network - Location Hierarchy^DMAs^Savannah GA,Lotame Data Selling Network - Location Hierarchy,DMAs,Savannah GA,,,,,
525379,Lotame Data Selling Network - Location Hierarchy^DMAs^Biloxi-Gulfport MS,Lotame Data Selling Network - Location Hierarchy,DMAs,Biloxi-Gulfport MS,,,,,
525466,Lotame Data Selling Network - Location Hierarchy^DMAs^Lake Charles LA,Lotame Data Selling Network - Location Hierarchy,DMAs,Lake Charles LA,,,,,
525417,Lotame Data Selling Network - Location Hierarchy^DMAs^Dothan AL,Lotame Data Selling Network - Location Hierarchy,DMAs,Dothan AL,,,,,
1857469,*Lotame DAR Optimized^APAC^Persons APAC^18-34 APAC,*Lotame DAR Optimized,APAC,Persons APAC,18-34 APAC,,,,
6664199,Precision Demographics^Composites^Australia^Persons^18-34,Precision Demographics,Composites,Australia,Persons,18-34,,,
6664200,Precision Demographics^Composites^Australia^Persons^25-44,Precision Demographics,Composites,Australia,Persons,25-44,,,
1857460,*Lotame DAR Optimized^APAC^Male APAC^M - 25-44 APAC,*Lotame DAR Optimized,APAC,Male APAC,M - 25-44 APAC,,,,
1857462,*Lotame DAR Optimized^APAC^Male APAC^M - 25-54 APAC,*Lotame DAR Optimized,APAC,Male APAC,M - 25-54 APAC,,,,
1857463,*Lotame DAR Optimized^APAC^Male APAC^M - 35-54 APAC,*Lotame DAR Optimized,APAC,Male APAC,M - 35-54 APAC,,,,
1857464,*Lotame DAR Optimized^APAC^Male APAC^M - 35-64 APAC,*Lotame DAR Optimized,APAC,Male APAC,M - 35-64 APAC,,,,
1857440,*Lotame DAR Optimized^APAC^Female APAC^F - 18+ APAC,*Lotame DAR Optimized,APAC,Female APAC,F - 18+ APAC,,,,
6664257,Precision Demographics^Composites^France^Persons^25-54,Precision Demographics,Composites,France,Persons,25-54,,,
6664285,Precision Demographics^Composites^Germany^Persons^21-49,Precision Demographics,Composites,Germany,Persons,21-49,,,
6664284,Precision Demographics^Composites^Germany^Persons^21-39,Precision Demographics,Composites,Germany,Persons,21-39,,,
6664288,Precision Demographics^Composites^Germany^Persons^25-64,Precision Demographics,Composites,Germany,Persons,25-64,,,
6664283,Precision Demographics^Composites^Germany^Persons^18-34,Precision Demographics,Composites,Germany,Persons,18-34,,,
