Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8,ShortName_General,ShortName_Specific,NEWID
838936,*Lotame Shopping & Retail^Past Purchases^Financial Products & Services^Credit Products^Rewards Cards,*Lotame Shopping & Retail,Past Purchases,Financial Products & Services,Credit Products,Rewards Cards,,,,Past Purchases,Credit Products,838936
838935,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Automotive^Static^Model Cars,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Automotive,Static,Model Cars,Past Purchases,Toys Games & Hobbies,838935
838934,*Lotame Shopping & Retail^Past Purchases^Retail^Toys Games & Hobbies^Models^Automotive^Static,*Lotame Shopping & Retail,Past Purchases,Retail,Toys Games & Hobbies,Models,Automotive,Static,,Past Purchases,Toys Games & Hobbies,838934
838933,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Subaru,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Subaru,,,,Past Purchases,Auto,838933
838932,*Lotame Shopping & Retail^Past Purchases^Retail^Automotive Parts & Accessories^Diesel,*Lotame Shopping & Retail,Past Purchases,Retail,Automotive Parts & Accessories,Diesel,,,,Past Purchases,Automotive Parts & Accessories,838517
838931,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^Others,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,Others,,,Past Purchases,Computers,838931
838930,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^Clearwire,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,Clearwire,,,Past Purchases,Internet Service Provider (ISP),838497
838929,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Buick,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Buick,,,,Past Purchases,Auto,838929
838928,*Lotame Shopping & Retail^Past Purchases^Services^Health & Fitness^Diet Programs,*Lotame Shopping & Retail,Past Purchases,Services,Health & Fitness,Diet Programs,,,,Past Purchases,Health & Fitness,838876
838927,*Lotame Shopping & Retail^Past Purchases^Retail^Sports Equipment & Outdoor Gear^Activities^Outdoor Activities^Golf,*Lotame Shopping & Retail,Past Purchases,Retail,Sports Equipment & Outdoor Gear,Activities,Outdoor Activities,Golf,,Past Purchases,Sports Equipment & Outdoor Gear,838510
838926,*Lotame Shopping & Retail^Past Purchases^Retail^Businesss & Industrial^Safety Suplies,*Lotame Shopping & Retail,Past Purchases,Retail,Businesss & Industrial,Safety Suplies,,,,Past Purchases,Businesss & Industrial,838926
838925,*Lotame Shopping & Retail^Past Purchases^Retail^Pets^Grooming,*Lotame Shopping & Retail,Past Purchases,Retail,Pets,Grooming,,,,Past Purchases,Pets,838514
838924,*Lotame Shopping & Retail^Past Purchases^Retail^Entertainment^Tickets^Theme Parks,*Lotame Shopping & Retail,Past Purchases,Retail,Entertainment,Tickets,Theme Parks,,,Past Purchases,Entertainment,838924
838923,*Lotame Shopping & Retail^Past Purchases^Retail^Babies & Kids^Baby Products,*Lotame Shopping & Retail,Past Purchases,Retail,Babies & Kids,Baby Products,,,,Past Purchases,Babies & Kids,838922
838922,*Lotame Shopping & Retail^Past Purchases^Retail^Babies & Kids,*Lotame Shopping & Retail,Past Purchases,Retail,Babies & Kids,,,,,Past Purchases,Babies & Kids,838922
838921,*Lotame Shopping & Retail^Past Purchases^Travel^Business Travelers,*Lotame Shopping & Retail,Past Purchases,Travel,Business Travelers,,,,,Past Purchases,Business Travelers,838921
838920,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Chrysler,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Chrysler,,,,Past Purchases,Auto,838920
838919,*Lotame Shopping & Retail^Past Purchases^Retail^Entertainment^Media^Film,*Lotame Shopping & Retail,Past Purchases,Retail,Entertainment,Media,Film,,,Past Purchases,Entertainment,838919
838918,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Network^BlackBerry,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Network,BlackBerry,,,Past Purchases,Internet Service Provider (ISP),838497
838917,*Lotame Shopping & Retail^Past Purchases^Retail^Businesss & Industrial^Web Site Design & Services,*Lotame Shopping & Retail,Past Purchases,Retail,Businesss & Industrial,Web Site Design & Services,,,,Past Purchases,Businesss & Industrial,838917
